类别,关键词,使用约束
筹资偿债类,还款,结合方向（支出）与规律性使用，禁止裸关键词触发
筹资偿债类,还贷,结合方向（支出）使用
筹资偿债类,归还借款,结合方向（支出）使用
筹资偿债类,还本,结合方向（支出）使用
筹资偿债类,付息,结合方向（支出）与规律性使用
筹资偿债类,利息,排除存款结息场景后使用
筹资偿债类,息款,结合方向使用
筹资偿债类,代偿,任意方向
筹资偿债类,代还,任意方向
筹资偿债类,过桥,任意方向（高权重线索）
筹资偿债类,转贷,任意方向（高权重线索）
筹资偿债类,倒贷,任意方向（高权重线索）
筹资偿债类,借款,结合方向（收入）与对手类型使用
筹资偿债类,拆借,任意方向
筹资偿债类,周转,结合对手类型（对私）使用
融资机构类,小额贷款,对手名称命中
融资机构类,小贷,对手名称命中
融资机构类,典当,对手名称命中
融资机构类,寄卖,对手名称命中
融资机构类,融资租赁,对手名称命中
融资机构类,租赁保理,对手名称命中
融资机构类,商业保理,对手名称命中
融资机构类,担保,对手名称命中（排除本行保证金科目）
融资机构类,再担保,对手名称命中
融资机构类,投资管理,对手名称命中
融资机构类,资产管理,对手名称命中
融资机构类,财富管理,对手名称命中
融资机构类,创业投资,对手名称命中
融资机构类,创投,对手名称命中
民间借贷场景类,好处费,对私规律支付场景
民间借贷场景类,感谢费,对私规律支付场景
民间借贷场景类,咨询费,仅对私规律支付场景下使用
民间借贷场景类,保证金,非招投标场景
民间借贷场景类,砍头,任意方向（高权重线索）
民间借贷场景类,押金回转,任意方向
养流水嫌疑类,测试,摘要命中
养流水嫌疑类,试转,摘要命中
养流水嫌疑类,冲量,摘要命中
养流水嫌疑类,走账,摘要命中
养流水嫌疑类,过账,摘要命中
养流水嫌疑类,平账,摘要命中
