交易唯一编号,客户名称,主体名称,账户类型,本方名称,本方账户,开户行,交易时间,对手名称,对手账户,收入金额,支出金额,交易金额,账户余额,虚拟账户余额,银行备注,账户方附言,收支方向,一级标签,二级标签,三级标签,标签来源,标签置信度,命中关键词,交易渠道,来源文件名,来源行号
TX000001,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-01 16:06:00,报关行甲,,,166224.27,-166224.27,333775.73,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,1
TX000002,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-01 09:27:00,北京诚栋集成房屋,,365687.54,,365687.54,699463.27,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,2
TX000003,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-02 17:07:00,北京诚栋集成房屋,,229397.96,,229397.96,928861.23,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,3
TX000004,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-02 14:03:00,物流仓储乙,,,237450.15,-237450.15,691411.08,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,4
TX000005,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-02 14:09:00,中远海运,,,143599.58,-143599.58,547811.5,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,5
TX000006,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-04 11:23:00,上海港务,,,34733.37,-34733.37,513078.13,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,6
TX000007,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-04 15:43:00,北京诚栋集成房屋,,234459.95,,234459.95,747538.08,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,7
TX000008,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-05 12:15:00,报关行甲,,,150534.85,-150534.85,597003.23,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,8
TX000009,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-05 15:56:00,上海港务,,,29645.2,-29645.2,567358.03,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,9
TX000010,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-05 09:32:00,合肥中南光电,,129416.35,,129416.35,696774.38,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,10
TX000011,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-06 08:42:00,西轮国运代理,,77754.12,,77754.12,774528.5,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,11
TX000012,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-06 13:21:00,江苏锦祺供应链,,237749.86,,237749.86,1012278.36,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,12
TX000013,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-06 09:53:00,物流仓储乙,,,129201.95,-129201.95,883076.41,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,13
TX000014,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-08 18:36:00,北京诚栋集成房屋,,43054.38,,43054.38,926130.79,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,14
TX000015,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-08 18:22:00,报关行甲,,,78302.93,-78302.93,847827.86,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,15
TX000016,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-10 12:08:00,江苏锦祺供应链,,64496.4,,64496.4,912324.26,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,16
