规则编号,适用方向,依据字段,匹配方式,关键词,排除关键词,对手名称含,一级标签,二级标签,三级标签,优先级,备注
R0001,收入,摘要或备注,包含,利息,利息税|贷款,,投资类,存款结息,结息,1000,内联:结息
R0002,收入,摘要或备注,包含,结息,利息税|贷款,,投资类,存款结息,结息,1000,内联:结息
R0003,收入,摘要或备注,包含,入息,利息税|贷款,,投资类,存款结息,结息,1000,内联:结息
R0004,收入,摘要或备注,包含,存息,利息税|贷款,,投资类,存款结息,结息,1000,内联:结息
R0005,收入,摘要或备注,包含,季息,利息税|贷款,,投资类,存款结息,结息,1000,内联:结息
R0006,支出,对手名称,包含,社保,,,经营类,人力成本,社保,990,词库
R0007,支出,对手名称,包含,社会保险,,,经营类,人力成本,社保,990,词库
R0008,支出,对手名称,包含,单位保险金,,,经营类,人力成本,社保,990,词库
R0009,支出,对手名称,包含,社险,,,经营类,人力成本,社保,990,词库
R0010,支出,对手名称,包含,养老保险,,,经营类,人力成本,社保,990,词库
R0011,支出,对手名称,包含,医疗保险,,,经营类,人力成本,社保,990,词库
R0012,支出,对手名称,包含,失业保险,,,经营类,人力成本,社保,990,词库
R0013,支出,对手名称,包含,工伤保险,,,经营类,人力成本,社保,990,词库
R0014,支出,对手名称,包含,生育保险,,,经营类,人力成本,社保,990,词库
R0015,支出,摘要或备注,包含,社保,,,经营类,人力成本,社保,990,词库
R0016,支出,摘要或备注,包含,社会保险,,,经营类,人力成本,社保,990,词库
R0017,支出,摘要或备注,包含,单位保险金,,,经营类,人力成本,社保,990,词库
R0018,支出,摘要或备注,包含,社险,,,经营类,人力成本,社保,990,词库
R0019,支出,摘要或备注,包含,养老,,,经营类,人力成本,社保,990,词库
R0020,支出,摘要或备注,包含,医疗,,,经营类,人力成本,社保,990,词库
R0021,支出,摘要或备注,包含,工伤,,,经营类,人力成本,社保,990,词库
R0022,支出,摘要或备注,包含,失业,,,经营类,人力成本,社保,990,词库
R0023,支出,摘要或备注,包含,生育,,,经营类,人力成本,社保,990,词库
R0024,支出,摘要或备注,包含,四险,,,经营类,人力成本,社保,990,词库
R0025,支出,摘要或备注,包含,五险,,,经营类,人力成本,社保,990,词库
R0026,支出,摘要或备注,包含,shebao,,,经营类,人力成本,社保,990,词库
R0027,支出,对手名称,包含,劳动保险,,,经营类,人力成本,社保,990,词库
R0028,支出,对手名称,包含,养老金,,,经营类,人力成本,社保,990,词库
R0029,支出,摘要或备注,包含,非税,,,经营类,人力成本,社保,990,词库
R0030,收入,对手名称,包含,社保,,,经营类,人力成本,社保收入,990,词库
R0031,收入,对手名称,包含,社会保险,,,经营类,人力成本,社保收入,990,词库
R0032,收入,对手名称,包含,单位保险金,,,经营类,人力成本,社保收入,990,词库
R0033,收入,对手名称,包含,社险,,,经营类,人力成本,社保收入,990,词库
R0034,收入,对手名称,包含,养老保险,,,经营类,人力成本,社保收入,990,词库
R0035,收入,对手名称,包含,医疗保险,,,经营类,人力成本,社保收入,990,词库
R0036,收入,对手名称,包含,失业保险,,,经营类,人力成本,社保收入,990,词库
R0037,收入,对手名称,包含,工伤保险,,,经营类,人力成本,社保收入,990,词库
R0038,收入,对手名称,包含,生育保险,,,经营类,人力成本,社保收入,990,词库
R0039,收入,摘要或备注,包含,社保,,,经营类,人力成本,社保收入,990,词库
R0040,收入,摘要或备注,包含,社会保险,,,经营类,人力成本,社保收入,990,词库
R0041,收入,摘要或备注,包含,单位保险金,,,经营类,人力成本,社保收入,990,词库
R0042,收入,摘要或备注,包含,社险,,,经营类,人力成本,社保收入,990,词库
R0043,收入,摘要或备注,包含,养老,,,经营类,人力成本,社保收入,990,词库
R0044,收入,摘要或备注,包含,医疗,,,经营类,人力成本,社保收入,990,词库
R0045,收入,摘要或备注,包含,工伤,,,经营类,人力成本,社保收入,990,词库
R0046,收入,摘要或备注,包含,失业,,,经营类,人力成本,社保收入,990,词库
R0047,收入,摘要或备注,包含,生育,,,经营类,人力成本,社保收入,990,词库
R0048,收入,摘要或备注,包含,四险,,,经营类,人力成本,社保收入,990,词库
R0049,收入,摘要或备注,包含,五险,,,经营类,人力成本,社保收入,990,词库
R0050,收入,摘要或备注,包含,shebao,,,经营类,人力成本,社保收入,990,词库
R0051,收入,对手名称,包含,劳动保险,,,经营类,人力成本,社保收入,990,词库
R0052,收入,对手名称,包含,养老金,,,经营类,人力成本,社保收入,990,词库
R0053,收入,摘要或备注,包含,扶持,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0054,收入,摘要或备注,包含,支持,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0055,收入,摘要或备注,包含,奖,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0056,收入,摘要或备注,包含,资金,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0057,收入,摘要或备注,包含,资助,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0058,收入,摘要或备注,包含,经费,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0059,收入,摘要或备注,包含,激励,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0060,收入,摘要或备注,包含,补助,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0061,收入,摘要或备注,包含,补贴,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0062,收入,摘要或备注,包含,高新技术,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0063,收入,摘要或备注,包含,高新区,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0064,收入,摘要或备注,包含,经发局,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0065,收入,摘要或备注,包含,科技局,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0066,收入,摘要或备注,包含,整治,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0067,收入,摘要或备注,包含,整顿,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0068,收入,摘要或备注,包含,整改,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0069,收入,摘要或备注,包含,经济和信息化局,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0070,收入,摘要或备注,包含,非税,,国库|金库|财政|局|委员会|政府,经营类,财政补贴,财政补贴,980,内联:财政补贴
R0071,支出,摘要或备注,包含,退,,,经营类,退款交易,退款支出,980,词库
R0072,支出,摘要或备注,包含,有误,,,经营类,退款交易,退款支出,980,词库
R0073,支出,摘要或备注,包含,账号误,,,经营类,退款交易,退款支出,980,词库
R0074,支出,摘要或备注,包含,账号错,,,经营类,退款交易,退款支出,980,词库
R0075,支出,摘要或备注,包含,不存在,,,经营类,退款交易,退款支出,980,词库
R0076,支出,摘要或备注,包含,户名不符,,,经营类,退款交易,退款支出,980,词库
R0077,支出,摘要或备注,包含,请填写正确的收款账户,,,经营类,退款交易,退款支出,980,词库
R0078,支出,摘要或备注,包含,汇错款,,,经营类,退款交易,退款支出,980,词库
R0079,支出,摘要或备注,包含,资金原路返回,,,经营类,退款交易,退款支出,980,词库
R0080,支出,摘要或备注,包含,金额不匹配,,,经营类,退款交易,退款支出,980,词库
R0081,支出,摘要或备注,包含,不能入账,,,经营类,退款交易,退款支出,980,词库
R0082,支出,摘要或备注,包含,户名不一致,,,经营类,退款交易,退款支出,980,词库
R0083,支出,摘要或备注,包含,非我行账号,,,经营类,退款交易,退款支出,980,词库
R0084,支出,摘要或备注,包含,非我行帐号,,,经营类,退款交易,退款支出,980,词库
R0085,支出,摘要或备注,包含,处理失败,,,经营类,退款交易,退款支出,980,词库
R0086,支出,摘要或备注,包含,通用失败,,,经营类,退款交易,退款支出,980,词库
R0087,支出,摘要或备注,包含,已冻结,,,经营类,退款交易,退款支出,980,词库
